place ;country;name;max_annual_water_yield;annual_power_consumption;max_annual_operating_hours
Madison Wisconsin USA;USA;madison;396546;138;2396
Portland Oregon USA;USA;portland;222600;85;1717
Honululu USA;USA;honululu;1713113;610;8665
Los Angeles USA;USA;losangeles;588604;224;4157
San Francisco USA;USA;sanfrancisco;178346;69;1597
San Antonio Texas;USA;sanantonio;1100775;401;5260
San Jose USA;USA;sanjose;178679;70;1536
Brownsville Texas USA;USA;brownsville;1719842;612;7569
Mount Darwin;Zimbabwe;mountdarwin;1012275;341;5888
Basra;Iraq;basra;431508;256;5266
Moanda;Gabon;moanda;2281167;720;8760
Tchiban;Gabon;tchiban;2448092;785;8760
